year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,84.635657,47.481704,85.276255,,,,,,,,47.481704
1951,,85.150765,48.178876,85.795262,,,,,,,,48.178876
1952,,85.676207,48.885977,86.324681,,,,,,,,48.885977
1953,,86.211292,49.602892,86.863816,,,,,,,,49.602892
1954,,86.755171,50.329482,87.411811,,,,,,,,50.329482
1955,,87.383838,51.065382,88.045236,,,,,,,,51.065382
1956,,88.037958,51.8103,88.704308,,,,,,,,51.8103
1957,,88.68013,52.564051,89.35134,,,,,,,,52.564051
1958,,89.308961,53.326873,89.98493,,,,,,,,53.326873
1959,,89.925579,54.111898,90.606216,,,,,,,,54.111898
1960,,90.530771,54.906411,91.215988,,,,,,,,54.906411
1961,69.49,91.124872,55.707205,91.814586,,,,,,,,55.707205
1962,70.35,91.707857,56.513656,92.401984,,,,,,,,56.513656
1963,70.44,92.279879,57.32533,92.978335,,,,,,,,57.32533
1964,71.17,92.848904,58.14178,93.551667,,,,,,,,58.14178
1965,71.11,93.4147,58.962535,94.121746,,,,,,,,58.962535
1966,72.33,93.784006,59.787095,94.493847,,,,,,,,59.787095
1967,73.6,94.289692,60.616738,95.00336,,,,,,,,60.616738
1968,74.19,94.858819,61.456511,95.576795,,,,,,,,61.456511
1969,73.06,95.433926,62.305884,96.156255,,,,,,,,62.305884
1970,73.88,95.990153,63.147788,96.716692,,,,,,,,63.147788
1971,74.2,96.516326,63.98906,97.246847,,,,,,,,63.98906
1972,72.23,97.028413,64.860132,97.76281,,,,,,,,64.860132
1973,74.99,97.530132,65.741612,98.268326,,,,,,,,65.741612
1974,74.12,98.02265,66.627332,98.764573,,,,,,,,66.627332
1975,74.38,98.506377,67.516361,99.251961,,,,,,,,67.516361
1976,74.89,98.999059,68.402938,99.748372,,,,,,,,68.402938
1977,75.23,99.510147,69.283228,100.26333,,,,,,,,69.283228
1978,77.41,100.00667,70.161327,100.76361,,,,,,,,70.161327
1979,76.89,100.48877,71.038593,101.24936,,,,,,,,71.038593
1980,75.61,100.95673,71.915664,101.72086,,,,,,,,71.915664
1981,76.57,101.41068,72.800288,102.17824,,,,,,,,72.800288
1982,77.61,101.85313,73.686113,102.62404,,,,,,,,73.686113
1983,76.69,102.28376,74.571159,103.05794,,,,,,,,74.571159
1984,78.74,102.70202,75.45677,103.47936,,,,,,,,75.45677
1985,78.81,103.11149,76.343698,103.89193,,,,,,,,76.343698
1986,79.08,103.51444,77.232406,104.29792,,,,,,,,77.232406
1987,78.39,103.90302,78.127276,104.68945,,,,,,,,78.127276
1988,77.55,104.2765,79.028749,105.06576,,,,,,,,79.028749
1989,78.98,104.63396,79.936318,105.42593,,,,,,,,79.936318
1990,79.45,104.97225,80.849745,105.76677,,,,,,,,80.849745
1991,77.52,105.29535,81.768727,106.09232,,,,,,,,81.768727
1992,75.57,105.61853,82.692844,106.41794,,,,,,,,82.692844
1993,75.58,105.93871,83.621631,106.74055,,,,,,,,83.621631
1994,79.08,106.23165,84.554585,107.03571,,,,,,,,84.554585
1995,79.5,106.22466,85.491038,107.02867,,,,,,,,85.491038
1996,81.48,105.90105,86.418107,106.7026,,,,,,,,86.418107
1997,81.59,105.71847,87.360614,106.51864,,,,,,,,87.360614
1998,82.29,105.55028,88.302328,106.34918,,,,,,,,88.302328
1999,83.97,105.37678,89.240982,106.17437,,,,,,,,89.240982
2000,84.42,105.1981,90.032452,105.99433,,,,,,,,90.032452
2001,84.4,105.01385,90.847161,105.80869,,,,,,,,90.847161
2002,84.56,104.82388,91.662457,105.61729,,,,,,,,91.662457
2003,85.74,104.63063,92.469623,105.42257,,,,,,,,92.469623
2004,88.19,104.47518,93.267794,105.26594,,,,,,,,93.267794
2005,88.55,104.36503,94.050005,105.15495,,,,,,,,94.050005
2006,89.06,104.22248,94.818473,105.01133,,,,,,,,94.818473
2007,90.54,104.03046,95.580144,104.81786,,,,,,,,95.580144
2008,93,103.78589,96.335171,104.57143,,,,,,,,96.335171
2009,92.78,103.21833,97.100128,103.99958,,,,,,,,97.100128
2010,93.93,102.71088,97.865878,103.44021,,,,,,,,97.865878
2011,95.9,102.19284,98.621803,102.82077,,,,,,,,98.621803
2012,95.66,101.66379,99.330782,102.16436,,,,,,,,99.330782
2013,98.59,101.12573,99.965359,101.47661,,,,,,,,99.965359
2014,99.66,100.57033,100.59101,100.75338,,,,,,,,100.59101
2015,99.92,100,101.19404,100,,,,,,,,101.19404
