year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,0.39772572,0.37703813,0.39772572,,,,,,,,0.37703813
1951,,0.4022893,0.38101426,0.4022893,,,,,,,,0.38101426
1952,,0.40693901,0.38506692,0.40693901,,,,,,,,0.38506692
1953,,0.4116749,0.38919625,0.4116749,,,,,,,,0.38919625
1954,,0.41649667,0.39340225,0.41649667,,,,,,,,0.39340225
1955,,0.4215353,0.3976827,0.4215353,,,,,,,,0.3976827
1956,,0.42669714,0.40203652,0.42669714,,,,,,,,0.40203652
1957,,0.43191899,0.40646404,0.43191899,,,,,,,,0.40646404
1958,,0.43719706,0.4109704,0.43719706,,,,,,,,0.4109704
1959,,0.4425322,0.41570004,0.4425322,,,,,,,,0.41570004
1960,,0.44792492,0.42050785,0.44792492,,,,,,,,0.42050785
1961,,0.45337519,0.42536358,0.45337519,,,,,,,,0.42536358
1962,,0.45888242,0.43026625,0.45888242,,,,,,,,0.43026625
1963,,0.46445068,0.43521655,0.46445068,,,,,,,,0.43521655
1964,,0.47014552,0.44021474,0.47014552,,,,,,,,0.44021474
1965,,0.47597898,0.44526056,0.47597898,,,,,,,,0.44526056
1966,,0.48159734,0.45035329,0.48159734,,,,,,,,0.45035329
1967,,0.48758874,0.45550313,0.48758874,,,,,,,,0.45550313
1968,,0.49383962,0.46074321,0.49383962,,,,,,,,0.46074321
1969,,0.50026749,0.46610113,0.50026749,,,,,,,,0.46610113
1970,,0.5069211,0.47140732,0.5069211,,,,,,,,0.47140732
1971,,0.51360077,0.47675896,0.51360077,,,,,,,,0.47675896
1972,,0.52033959,0.48247626,0.52033959,,,,,,,,0.48247626
1973,,0.52715243,0.48834789,0.52715243,,,,,,,,0.48834789
1974,,0.53404945,0.49432616,0.53404945,,,,,,,,0.49432616
1975,,0.54106674,0.50041865,0.54106674,,,,,,,,0.50041865
1976,,0.54820039,0.506658,0.54820039,,,,,,,,0.506658
1977,,0.55547288,0.51291758,0.55547288,,,,,,,,0.51291758
1978,,0.56255417,0.51921825,0.56255417,,,,,,,,0.51921825
1979,,0.56950752,0.52557197,0.56950752,,,,,,,,0.52557197
1980,,0.57652946,0.53198419,0.57652946,,,,,,,,0.53198419
1981,,0.58361952,0.5385357,0.58361952,,,,,,,,0.5385357
1982,,0.59079001,0.54515558,0.59079001,,,,,,,,0.54515558
1983,,0.59804138,0.55167915,0.59804138,,,,,,,,0.55167915
1984,,0.60496374,0.55796244,0.60496374,,,,,,,,0.55796244
1985,,0.61167848,0.56429188,0.61167848,,,,,,,,0.56429188
1986,,0.61850227,0.5702624,0.61850227,,,,,,,,0.5702624
1987,,0.6254328,0.57610244,0.6254328,,,,,,,,0.57610244
1988,,0.63246924,0.58203293,0.63246924,,,,,,,,0.58203293
1989,,0.63961025,0.5880529,0.63961025,,,,,,,,0.5880529
1990,0.608,0.64684792,0.59416181,0.64684792,,,,,,,,0.59416181
1991,0.611,0.65418246,0.60035919,0.65418246,,,,,,,,0.60035919
1992,0.614,0.66162012,0.60664443,0.66162012,,,,,,,,0.60664443
1993,0.617,0.66916546,0.61301684,0.66916546,,,,,,,,0.61301684
1994,0.62,0.67681115,0.61947567,0.67681115,,,,,,,,0.61947567
1995,0.625,0.68445742,0.62601957,0.68445742,,,,,,,,0.62601957
1996,0.631,0.69203147,0.63262191,0.69203147,,,,,,,,0.63262191
1997,0.636,0.6997004,0.63932233,0.6997004,,,,,,,,0.63932233
1998,0.641,0.70744411,0.64609909,0.70744411,,,,,,,,0.64609909
1999,0.646,0.71527734,0.65294738,0.71527734,,,,,,,,0.65294738
2000,0.651,0.72321204,0.65960696,0.72321204,,,,,,,,0.65960696
2001,0.657,0.731232,0.66633056,0.731232,,,,,,,,0.66633056
2002,0.662,0.73934114,0.67309924,0.73934114,,,,,,,,0.67309924
2003,0.669,0.74754376,0.67990117,0.74754376,,,,,,,,0.67990117
2004,0.675,0.75287172,0.68674112,0.75287172,,,,,,,,0.68674112
2005,0.681,0.75796751,0.69359022,0.75796751,,,,,,,,0.69359022
2006,0.688,0.76306368,0.70045471,0.76306368,,,,,,,,0.70045471
2007,0.694,0.76818366,0.70736135,0.76818366,,,,,,,,0.70736135
2008,0.698,0.77342895,0.71430998,0.77342895,,,,,,,,0.71430998
2009,0.701,0.7786798,0.72127051,0.77838206,,,,,,,,0.72127051
2010,0.707,0.78407021,0.72757795,0.78265072,,,,,,,,0.72757795
2011,0.713,0.78650439,0.73382032,0.78361014,,,,,,,,0.73382032
2012,0.717,0.78794163,0.7396795,0.78354358,,,,,,,,0.7396795
2013,0.721,0.78938443,0.74324799,0.78334535,,,,,,,,0.74324799
2014,0.726,0.79081107,0.74585258,0.78299102,,,,,,,,0.74585258
2015,0.731,0.79222327,0.74846916,0.7824796,,,,,,,,0.74846916
2016,0.735,0.79363634,0.75107126,0.78057777,,,,,,,,0.75107126
2017,0.739,0.79504331,0.75359453,0.77819364,,,,,,,,0.75359453
2018,0.741,0.79620473,0.75541687,0.77545152,,,,,,,,0.75541687
2019,0.745,0.79676042,0.7553887,0.77236251,,,,,,,,0.7553887
2020,0.742,0.79727299,0.75539761,0.76894739,,,,,,,,0.75539761
2021,0.742,0.7977248,0.75555591,0.76522709,,,,,,,,0.75555591
2022,0.752,0.79811412,0.75580235,0.75694921,,,,,,,,0.75580235
2023,0.756,0.79844322,0.756,0.73328736,0.756,0.756,0.756,,0.756,0.756,,0.756
