year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,36.996732,41.268899,39.013643,,,,,,,,41.268899
1951,,37.680255,42.002514,39.734429,,,,,,,,42.002514
1952,,38.374094,42.747348,40.466094,,,,,,,,42.747348
1953,,39.078169,43.503365,41.208552,,,,,,,,43.503365
1954,,39.792374,44.270506,41.961693,,,,,,,,44.270506
1955,,40.51681,45.048682,42.725622,,,,,,,,45.048682
1956,,41.252437,45.837747,43.501352,,,,,,,,45.837747
1957,,41.998966,46.637531,44.288579,,,,,,,,46.637531
1958,,42.75577,47.447844,45.08664,,,,,,,,47.447844
1959,,43.522265,48.268925,45.894922,,,,,,,,48.268925
1960,,44.297921,49.101744,46.712863,,,,,,,,49.101744
1961,,45.082233,49.945732,47.539933,,,,,,,,49.945732
1962,,45.874714,50.800192,48.375617,,,,,,,,50.800192
1963,,46.675114,51.664502,49.219651,,,,,,,,51.664502
1964,,47.487644,52.538092,50.076477,,,,,,,,52.538092
1965,,48.313085,53.420429,50.946917,,,,,,,,53.420429
1966,,49.150325,54.310998,51.829801,,,,,,,,54.310998
1967,,49.995854,55.210899,52.721424,,,,,,,,55.210899
1968,,50.852774,56.124903,53.62506,,,,,,,,56.124903
1969,,51.721514,57.052743,54.54116,,,,,,,,57.052743
1970,,52.59943,57.993901,55.466937,,,,,,,,57.993901
1971,,53.480841,58.944404,56.396399,,,,,,,,58.944404
1972,,54.365605,59.905771,57.329397,,,,,,,,59.905771
1973,,55.254786,60.87892,58.267052,,,,,,,,60.87892
1974,,56.149039,61.860496,59.210056,,,,,,,,61.860496
1975,,57.04865,62.849705,60.158711,,,,,,,,62.849705
1976,,57.953627,63.843446,61.113023,,,,,,,,63.843446
1977,,58.864589,64.838077,62.073647,,,,,,,,64.838077
1978,,59.781779,65.835011,63.040838,,,,,,,,65.835011
1979,,60.70692,66.835363,64.016415,,,,,,,,66.835363
1980,,61.640253,67.839832,65.000628,,,,,,,,67.839832
1981,,62.581651,68.849016,65.993348,,,,,,,,68.849016
1982,,63.532751,69.863803,66.996298,,,,,,,,69.863803
1983,,64.493771,70.884032,68.009709,,,,,,,,70.884032
1984,,65.46466,71.911165,69.033527,,,,,,,,71.911165
1985,,66.448321,72.946138,70.070813,,,,,,,,72.946138
1986,,67.445449,73.989625,71.122301,,,,,,,,73.989625
1987,,68.455979,75.046278,72.187921,,,,,,,,75.046278
1988,,69.479643,76.116318,73.267391,,,,,,,,76.116318
1989,,70.516066,77.199464,74.360315,,,,,,,,77.199464
1990,,71.563577,78.295423,75.464932,,,,,,,,78.295423
1991,,72.621809,79.403998,76.580855,,,,,,,,79.403998
