year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,13.894015,15.831998,14.7045,,,,,,,,15.831998
1951,,14.387501,16.371528,15.226773,,,,,,,,16.371528
1952,,14.897851,16.928745,15.766893,,,,,,,,16.928745
1953,,15.425636,17.504241,16.325466,,,,,,,,17.504241
1954,,15.97144,18.098621,16.903108,,,,,,,,18.098621
1955,,16.536008,18.712501,17.500609,,,,,,,,18.712501
1956,,17.120744,19.346485,18.119455,,,,,,,,19.346485
1957,,17.726326,20.001193,18.760363,,,,,,,,20.001193
1958,,18.353194,20.677258,19.423798,,,,,,,,20.677258
1959,,19.001801,21.37566,20.110241,,,,,,,,21.37566
1960,,19.672631,22.098029,20.820203,,,,,,,,22.098029
1961,,20.366188,22.844959,21.554217,,,,,,,,22.844959
1962,,21.08299,23.616924,22.312832,,,,,,,,23.616924
1963,,21.823565,24.414423,23.096608,,,,,,,,24.414423
1964,,22.588464,25.237988,23.906126,,,,,,,,25.237988
1965,,23.3783,26.088169,24.742035,,,,,,,,26.088169
1966,,24.193257,26.965532,25.604532,,,,,,,,26.965532
1967,,25.031633,27.87065,26.491813,,,,,,,,27.87065
1968,,25.896362,28.804165,27.406984,,,,,,,,28.804165
1969,,26.788727,29.766759,28.351405,,,,,,,,29.766759
1970,,27.707652,30.759097,29.323933,,,,,,,,30.759097
1971,,28.650758,31.779079,30.322054,,,,,,,,31.779079
1972,,29.619157,32.828598,31.346942,,,,,,,,32.828598
1973,,30.613967,33.910059,32.399783,,,,,,,,33.910059
1974,,31.636206,35.024312,33.481653,,,,,,,,35.024312
1975,,32.686793,36.171991,34.593524,,,,,,,,36.171991
1976,,33.766569,37.351443,35.736287,,,,,,,,37.351443
1977,,34.876865,38.559788,36.911351,,,,,,,,38.559788
1978,,36.018704,39.79829,38.119797,,,,,,,,39.79829
1979,,37.192657,41.068224,39.362231,,,,,,,,41.068224
1980,,38.399258,42.370719,40.639217,,,,,,,,42.370719
1981,,39.639012,43.706985,41.95129,,,,,,,,43.706985
1982,,40.912408,45.078684,43.298968,,,,,,,,45.078684
1983,,42.219926,46.486557,44.682757,,,,,,,,46.486557
1984,,43.562007,47.931131,46.103126,,,,,,,,47.931131
1985,,44.939069,49.412885,47.560517,,,,,,,,49.412885
1986,,46.351517,50.932232,49.055358,,,,,,,,50.932232
1987,,47.799769,52.489536,50.588092,,,,,,,,52.489536
1988,,49.284015,54.085117,52.158918,,,,,,,,54.085117
1989,,50.804428,55.719343,53.768022,,,,,,,,55.719343
1990,,52.361122,57.392479,55.415524,,,,,,,,57.392479
1991,,53.954164,59.104787,57.101493,,,,,,,,59.104787
1992,47.725315,55.583626,60.856476,58.826007,,,,,,,,60.856476
1993,47.789776,57.250347,62.647692,60.589953,,,,,,,,62.647692
1994,49.486613,58.954318,64.478502,62.393323,,,,,,,,64.478502
1995,51.085493,60.695192,66.34889,64.235748,,,,,,,,66.34889
1996,52.94441,62.459764,68.258359,66.103254,,,,,,,,68.258359
1997,54.88711,64.245674,70.205965,67.993341,,,,,,,,70.205965
1998,55.467551,66.056144,72.193433,69.909422,,,,,,,,72.193433
1999,56.923761,67.891384,74.219838,71.851719,,,,,,,,74.219838
2000,60.014276,69.751039,76.277839,73.819854,,,,,,,,76.277839
2001,60.883355,71.634618,78.351252,75.813308,,,,,,,,78.351252
2002,62.147873,73.541608,80.445884,77.831539,,,,,,,,80.445884
2003,64.473219,75.471477,82.562402,79.873984,,,,,,,,82.562402
2004,67.984835,77.423724,84.699914,81.940112,,,,,,,,84.699914
2005,70.942319,79.399914,86.857201,84.031579,,,,,,,,86.857201
2006,75.148347,81.400013,89.032887,86.148351,,,,,,,,89.032887
2007,79.253349,83.422135,91.225673,88.28843,,,,,,,,91.225673
2008,81.137065,85.464273,93.43428,90.449693,,,,,,,,93.43428
2009,78.284587,87.521079,95.657859,92.426628,,,,,,,,95.657859
2010,84.404823,89.584682,97.897697,93.850234,,,,,,,,97.897697
2011,88.1253,91.656325,100.1518,95.221292,,,,,,,,100.1518
2012,90.578823,93.735055,102.41676,96.529438,,,,,,,,102.41676
2013,93.116629,95.819576,104.68116,97.76636,,,,,,,,104.68116
2014,96.707903,97.908473,106.93892,98.925165,,,,,,,,106.93892
2015,100,100,109.19016,100,,,,,,,,109.19016
2016,103.24612,102.0926,111.43278,100.16064,,,,,,,,111.43278
2017,107.31572,104.18564,113.66447,100.09727,,,,,,,,113.66447
2018,111.22155,106.27772,115.88308,99.871976,,,,,,,,115.88308
2019,113.08715,108.36923,118.08682,99.482017,,,,,,,,118.08682
2020,110.42165,110.46087,120.27427,98.933594,,,,,,,,120.27427
2021,118.26553,112.55097,122.44505,98.234054,,,,,,,,122.44505
2022,121.3404,114.63759,124.60133,94.674401,,,,,,,,124.60133
2023,123.8058,116.71878,126.74314,90.019802,,,,,,,,126.74314
2024,126.6479,118.79262,128.86811,85.453597,,,,,,,,128.86811
2025,130.97368,120.85722,130.97368,81.011425,130.97368,130.97368,130.97368,,130.97368,130.97368,,130.97368
2026,,122.91072,,76.725016,133.05758,133.07157,133.67394,,133.07157,133.67394,,133.05758
2027,,124.95135,,72.619878,135.11788,135.14682,136.38517,,135.14682,136.38517,,135.11788
2028,,126.97734,,68.714879,137.15302,137.19795,139.10581,,137.19795,139.10581,,137.15302
2029,,129.00928,,65.0222,139.16174,139.22371,141.8343,,139.22371,141.8343,,139.16174
2030,,131.07038,,61.546625,141.14307,141.2198,144.56908,,141.2198,144.56908,,141.14307
2031,,133.08513,,59.129485,143.09625,143.16916,147.30794,,143.16916,147.30794,,143.09625
2032,,135.03441,,56.805055,145.0207,145.07281,150.05253,,145.07281,150.05253,,145.0207
2033,,136.91353,,54.545279,146.94134,146.95188,152.78456,,146.95188,152.78456,,146.94134
2034,,138.71199,,52.309183,148.86933,148.38246,155.51199,,148.38246,155.51199,,148.86933
2035,,140.39192,,50.107666,150.76224,149.45377,158.21828,,149.45377,158.21828,,150.76224
2036,,141.85909,,47.950147,152.60166,150.27105,160.85934,,150.27105,160.85934,,152.60166
