candidate_id,total,above,below,unique
0,1324,780,544,19
1,884,286,598,15
2,1953,1402,551,41
3,4007,3121,886,45
4,1148,578,570,18
5,1127,490,637,23
6,1298,709,589,21
7,892,229,663,14
8,2689,1610,1079,37
9,3157,2483,674,45
10,1263,654,609,24
11,1122,534,588,19
12,3588,2721,867,45
13,2248,1777,471,31
14,1939,1032,907,30
15,1927,1392,535,28
16,2425,1934,491,33
17,4034,3158,876,46
18,4457,3561,896,46
19,2666,1637,1029,37
20,921,262,659,15
21,3823,2925,898,46
22,4771,3650,1121,46
23,1245,701,544,18
24,2949,1942,1007,38
25,2188,1686,502,31
26,862,266,596,15
27,4180,3359,821,46
28,1030,474,556,17
29,3125,2126,999,37
30,5027,4118,909,47
31,1529,907,622,22
32,4433,3380,1053,47
33,934,216,718,14
34,1822,1321,501,26
35,4372,3354,1018,47
36,942,347,595,17
37,1112,501,611,18
38,2872,2397,475,43
39,4643,3562,1081,46
40,2976,2131,845,43
41,877,224,653,14
42,3820,2963,857,46
43,4938,4057,881,47
44,4004,2942,1062,45
45,4266,3522,744,45
46,871,260,611,15
47,1479,895,584,21
48,944,276,668,15
49,1257,622,635,21
50,865,258,607,14
51,3487,2310,1177,48
52,2012,1393,619,28
53,2255,1783,472,35
54,2512,1661,851,40
55,950,240,710,15
56,1883,1189,694,35
57,891,70,821,14
58,4096,3177,919,46
59,3286,2164,1122,38
60,1413,822,591,21
61,3964,3435,529,42
62,2784,2038,746,44
63,2872,1892,980,38
64,1056,459,597,17
65,4376,3225,1151,50
66,3648,2336,1312,49
67,813,34,779,14
68,3461,2785,676,45
69,871,76,795,14
70,846,249,597,14
71,1069,493,576,18
72,2122,1198,924,36
73,1693,1003,690,32
74,4332,3297,1035,48
75,944,0,944,13
76,4018,3125,893,46
77,3830,2816,1014,44
78,1695,892,803,27
79,1384,848,536,21
80,3219,2485,734,45
81,1914,1404,510,28
82,850,182,668,14
83,2188,1475,713,30
84,2027,1203,824,35
85,1465,927,538,22
86,1527,931,596,24
87,2475,1869,606,43
88,2873,1861,1012,37
89,861,255,606,15
90,922,268,654,15
91,3733,2881,852,43
92,3251,2462,789,44
93,2221,1275,946,36
94,1714,1075,639,26
95,4448,3458,990,46
96,1449,725,724,25
97,4130,3178,952,45
98,2878,2372,506,43
99,2917,2078,839,44
100,1459,918,541,20
101,2556,1855,701,43
102,4106,3123,983,46
103,1303,750,553,21
104,1813,835,978,28
105,2279,1389,890,35
106,1274,702,572,21
107,2571,2134,437,37
108,2019,1515,504,31
109,1601,1052,549,25
110,979,154,825,14
111,2003,1011,992,29
112,2575,1387,1188,39
113,1159,419,740,21
114,1273,705,568,21
115,979,394,585,16
116,3907,3156,751,45
117,1511,940,571,24
118,1010,0,1010,13
119,838,248,590,15
120,2607,1443,1164,38
121,1419,809,610,24
122,903,297,606,15
123,874,239,635,14
124,4009,3464,545,41
125,1098,321,777,21
126,984,278,706,19
127,1483,918,565,24
