year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,23.296043,25.177323,23.296043,,,,,,,,25.177323
1951,,24.121898,26.046587,24.121898,,,,,,,,26.046587
1952,,24.978505,26.947628,24.978505,,,,,,,,26.947628
1953,,25.866825,27.88138,25.866825,,,,,,,,27.88138
1954,,26.787799,28.848748,26.787799,,,,,,,,28.848748
1955,,27.742351,29.850612,27.742351,,,,,,,,29.850612
1956,,28.731396,30.887835,28.731396,,,,,,,,30.887835
1957,,29.755849,31.961272,29.755849,,,,,,,,31.961272
1958,,30.816685,33.071773,30.816685,,,,,,,,33.071773
1959,,31.914969,34.220191,31.914969,,,,,,,,34.220191
1960,,33.051861,35.407392,33.051861,,,,,,,,35.407392
1961,,34.228595,36.634276,34.228595,,,,,,,,36.634276
1962,,35.446449,37.901845,35.446449,,,,,,,,37.901845
1963,,36.706725,39.21123,36.706725,,,,,,,,39.21123
1964,,38.010726,40.56368,38.010726,,,,,,,,40.56368
1965,,39.359739,41.960528,39.359739,,,,,,,,41.960528
1966,,40.755025,43.403163,40.755025,,,,,,,,43.403163
1967,,42.197815,44.892993,42.197815,,,,,,,,44.892993
1968,,43.689299,46.431428,43.689299,,,,,,,,46.431428
1969,,45.230718,48.019861,45.230718,,,,,,,,48.019861
1970,,46.82358,49.659652,46.82358,,,,,,,,49.659652
1971,,48.469791,51.352125,48.469791,,,,,,,,51.352125
1972,,50.191976,53.098556,50.191976,,,,,,,,53.098556
1973,,51.997208,54.90022,51.997208,,,,,,,,54.90022
1974,,53.8845,56.758623,53.8845,,,,,,,,56.758623
1975,,55.856693,58.676698,55.856693,,,,,,,,58.676698
1976,,57.91895,60.684804,57.91895,,,,,,,,60.684804
1977,,60.077737,62.783272,60.077737,,,,,,,,62.783272
1978,,62.340134,64.967936,62.340134,,,,,,,,64.967936
1979,,64.713421,67.239652,64.713421,,,,,,,,67.239652
1980,,67.204831,69.602772,67.204831,,,,,,,,69.602772
1981,,69.821397,72.063912,69.821397,,,,,,,,72.063912
1982,,72.569851,74.631014,72.569851,,,,,,,,74.631014
1983,,75.456574,77.312666,75.456574,,,,,,,,77.312666
1984,,78.48758,80.117668,78.48758,,,,,,,,80.117668
1985,,81.668526,83.054742,81.668526,,,,,,,,83.054742
1986,,85.004743,86.132318,85.004743,,,,,,,,86.132318
1987,,88.501276,89.358398,88.501276,,,,,,,,89.358398
1988,,92.162933,92.740478,92.162933,,,,,,,,92.740478
1989,,95.994343,96.285528,95.994343,,,,,,,,96.285528
1990,,100,100,100,,,,,,,,100
1991,,104.18431,103.88987,104.18431,,,,,,,,103.88987
1992,,108.55164,107.96068,108.55164,,,,,,,,107.96068
1993,,113.10633,112.21761,113.10633,,,,,,,,112.21761
1994,,117.85273,116.66551,117.85273,,,,,,,,116.66551
1995,,122.79524,121.30899,122.79524,,,,,,,,121.30899
1996,,127.93837,126.15244,127.93837,,,,,,,,126.15244
1997,,133.28677,131.20009,133.28677,,,,,,,,131.20009
1998,,138.84539,136.45602,138.84539,,,,,,,,136.45602
1999,,144.62064,141.92416,144.62064,,,,,,,,141.92416
2000,,150.62144,147.60838,150.62144,,,,,,,,147.60838
2001,,156.85946,153.51258,156.85946,,,,,,,,153.51258
2002,,163.3487,159.64069,163.3487,,,,,,,,159.64069
2003,,170.10481,165.99767,170.10481,,,,,,,,165.99767
2004,,177.14441,172.59104,177.14441,,,,,,,,172.59104
2005,,184.48445,179.43157,184.48445,,,,,,,,179.43157
2006,,192.14171,186.53293,192.14171,,,,,,,,186.53293
2007,,200.13283,193.91089,200.13283,,,,,,,,193.91089
2008,,208.47458,201.58234,208.47458,,,,,,,,201.58234
2009,,217.18385,209.56444,217.18385,,,,,,,,209.56444
2010,,226.27733,217.87393,226.27733,,,,,,,,217.87393
2011,,235.77126,226.52673,235.77119,,,,,,,,226.52673
2012,,245.68178,235.53819,245.6801,,,,,,,,235.53819
2013,,256.02592,244.92335,256.0155,,,,,,,,244.92335
2014,,266.82203,254.69684,266.78428,,,,,,,,254.69684
2015,,278.08968,264.87263,277.9883,,,,,,,,264.87263
2016,,289.84921,275.46486,289.62424,,,,,,,,275.46486
2017,,302.12132,286.48887,301.68379,,,,,,,,286.48887
2018,,314.92655,297.96137,314.15324,,,,,,,,297.96137
2019,,328.28529,309.89996,327.01084,,,,,,,,309.89996
2020,,342.21789,322.32238,340.22464,,,,,,,,322.32238
2021,,356.74377,335.24574,353.75193,,,,,,,,335.24574
2022,,371.87997,348.68582,367.53967,,,,,,,,348.68582
2023,,387.64056,362.65688,381.52555,,,,,,,,362.65688
2024,,404.03684,377.17272,395.63726,,,,,,,,377.17272
2025,,421.07765,392.24811,409.7823,392.24811,311.6156,451.77354,,311.6156,451.77354,,392.24811
2026,,438.76991,,423.83702,407.89941,322.80712,471.02058,,322.80712,471.02058,,407.89941
2027,,457.11904,,437.64418,424.14432,334.4502,491.15145,,334.4502,491.15145,,424.14432
2028,,476.12939,,451.01724,441.00115,346.55608,512.27466,,346.55608,512.27466,,441.00115
2029,,495.80464,,463.74858,458.48807,359.13674,534.492,,359.13674,534.492,,458.48807
2030,,516.14808,,475.61926,476.62237,372.20498,557.89448,,372.20498,557.89448,,476.62237
2031,,537.1705,,486.4091,495.41989,385.77409,582.56315,,385.77409,582.56315,,495.41989
2032,,558.91217,,495.90623,514.89465,399.8576,608.57229,,399.8576,608.57229,,514.89465
2033,,581.44715,,503.91626,535.05865,414.469,635.99398,,414.469,635.99398,,535.05865
2034,,604.87474,,510.27292,555.92167,429.62183,664.90179,,429.62183,664.90179,,555.92167
2035,,629.30776,,514.84759,577.50082,445.3296,695.3737,,445.3296,695.3737,,577.50082
2036,,654.86205,,517.55712,599.84859,461.6056,727.49572,,461.6056,727.49572,,599.84859
2037,,681.64856,,518.36636,623.05509,478.46274,761.36428,,478.46274,761.36428,,623.05509
2038,,709.77044,,517.28621,647.2323,495.91405,797.08737,,495.91405,797.08737,,647.2323
2039,,739.32554,,514.36894,672.49662,513.97519,834.78401,,513.97519,834.78401,,672.49662
2040,,770.41027,,509.70195,698.9579,532.66647,874.58232,,532.66647,874.58232,,698.9579
2041,,803.12209,,503.40102,726.71702,552.01222,916.6166,,552.01222,916.6166,,726.71702
2042,,837.5601,,495.60332,755.86796,572.03929,961.02377,,572.03929,961.02377,,755.86796
2043,,873.82452,,486.46086,786.49975,592.77534,1007.9395,,592.77534,1007.9395,,786.49975
2044,,912.01537,,476.13434,818.6973,614.24751,1057.4944,,614.24751,1057.4944,,818.6973
2045,,952.23092,,464.78772,852.54124,636.48124,1109.8096,,636.48124,1109.8096,,852.54124
2046,,994.56656,,452.58381,888.1081,659.49976,1164.9924,,659.49976,1164.9924,,888.1081
2047,,1039.1135,,439.68124,925.47086,683.33119,1223.1315,,683.33119,1223.1315,,925.47086
2048,,1085.9564,,426.23216,964.69854,708.03015,1284.2931,,708.03015,1284.2931,,964.69854
2049,,1135.1711,,412.38019,1005.8549,733.68347,1348.5172,,733.68347,1348.5172,,1005.8549
2050,,1186.8206,,398.25843,1048.9963,760.40165,1415.8139,,760.40165,1415.8139,,1048.9963
2051,,1240.9519,,383.98812,1094.1694,788.30726,1486.1609,,788.30726,1486.1609,,1094.1694
2052,,1297.5924,,369.67763,1141.408,817.52418,1559.5001,,817.52418,1559.5001,,1141.408
2053,,1356.7465,,355.42216,1190.7311,848.16869,1635.7344,,848.16869,1635.7344,,1190.7311
2054,,1418.3928,,341.3037,1242.1396,880.34298,1713.1559,,880.34298,1713.1559,,1242.1396
2055,,1482.4822,,327.39156,1295.6144,914.13085,1792.5154,,914.13085,1792.5154,,1295.6144
2056,,1548.9353,,313.74303,1351.1147,949.59574,1873.8856,,949.59574,1873.8856,,1351.1147
2057,,1617.6402,,300.40432,1408.5766,986.78077,1957.0005,,986.78077,1957.0005,,1408.5766
2058,,1688.4505,,287.41164,1467.9114,1025.7114,2041.5511,,1025.7114,2041.5511,,1467.9114
2059,,1761.1829,,274.79232,1529.0048,1066.1434,2127.1834,,1066.1434,2127.1834,,1529.0048
2060,,1835.6136,,262.56592,1591.7153,1107.5429,2213.4997,,1107.5429,2213.4997,,1591.7153
2061,,1911.477,,250.74537,1655.8726,1150.5902,2300.0614,,1150.5902,2300.0614,,1655.8726
2062,,1988.4644,,239.33814,1721.2772,1195.2658,2386.3933,,1195.2658,2386.3933,,1721.2772
2063,,2066.2264,,228.34731,1787.6989,1241.5448,2471.9901,,1241.5448,2471.9901,,1787.6989
2064,,2144.3768,,217.77253,1854.8779,1289.3985,2570.6502,,1289.3985,2570.6502,,1854.8779
2065,,2222.4982,,207.61074,1922.5244,1337.3346,2671.3183,,1337.3346,2671.3183,,1922.5244
2066,,2300.1492,,197.85672,1990.3209,1386.1102,2752.1435,,1386.1102,2752.1435,,1990.3209
2067,,2376.8725,,188.50349,2057.9228,1436.0542,2829.7122,,1436.0542,2829.7122,,2057.9228
2068,,2452.2023,,179.54273,2124.9604,1487.1157,2903.4926,,1487.1157,2903.4926,,2124.9604
2069,,2525.6728,,170.96495,2191.0413,1539.2399,2972.9833,,1539.2399,2972.9833,,2191.0413
2070,,2596.8246,,162.75982,2255.7535,1592.3674,3037.7185,,1592.3674,3037.7185,,2255.7535
2071,,2665.2102,,154.91632,2318.6707,1646.4324,3097.2729,,1646.4324,3097.2729,,2318.6707
2072,,2730.3981,,147.42297,2379.3566,1701.3618,3151.2651,,1701.3618,3151.2651,,2379.3566
2073,,2791.976,,140.26792,2437.369,1757.073,3199.3599,,1757.073,3199.3599,,2437.369
2074,,2849.5547,,133.43914,2492.2653,1813.4724,3241.2706,,1813.4724,3241.2706,,2492.2653
2075,,2902.7712,,126.92451,2543.6087,1870.4536,3276.7595,,1870.4536,3276.7595,,2543.6087
2076,,2951.2924,,120.71193,2590.9747,1927.8964,3305.6384,,1927.8964,3305.6384,,2590.9747
2077,,2994.8181,,114.7894,2633.9582,1985.6658,3331.6124,,1985.6658,3331.6124,,2633.9582
2078,,3033.0829,,109.14509,2672.1793,2043.6111,3376.3844,,2043.6111,3376.3844,,2672.1793
2079,,3065.8585,,103.76741,2705.2899,2101.565,3455.1214,,2101.565,3455.1214,,2705.2899
