year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,23.122935,21.487312,23.122935,,,,,,,,21.487312
1951,,23.935112,22.219568,23.935112,,,,,,,,22.219568
1952,,24.772157,22.975826,24.772157,,,,,,,,22.975826
1953,,25.634791,23.756893,25.634791,,,,,,,,23.756893
1954,,26.523735,24.563592,26.523735,,,,,,,,24.563592
1955,,27.462449,25.396754,27.462449,,,,,,,,25.396754
1956,,28.439773,26.257202,28.439773,,,,,,,,26.257202
1957,,29.446581,27.145778,29.446581,,,,,,,,27.145778
1958,,30.48259,28.063338,30.48259,,,,,,,,28.063338
1959,,31.548295,29.011214,31.548295,,,,,,,,29.011214
1960,,32.64422,29.991619,32.64422,,,,,,,,29.991619
1961,,33.770854,31.005359,33.770854,,,,,,,,31.005359
1962,,34.928641,32.053076,34.928641,,,,,,,,32.053076
1963,,36.117985,33.135448,36.117985,,,,,,,,33.135448
1964,,37.339084,34.253196,37.339084,,,,,,,,34.253196
1965,,38.591901,35.407068,38.591901,,,,,,,,35.407068
1966,,39.892018,36.597833,39.892018,,,,,,,,36.597833
1967,,41.333073,37.826267,41.333073,,,,,,,,37.826267
1968,,42.844044,39.09324,42.844044,,,,,,,,39.09324
1969,,44.447244,40.39968,44.447244,,,,,,,,40.39968
1970,69.508674,46.454766,41.746489,46.454766,,,,,,,,41.746489
1971,69.207837,48.505764,43.130816,48.505764,,,,,,,,43.130816
1972,72.721438,50.609278,44.555232,50.609278,,,,,,,,44.555232
1973,77.057547,52.768938,46.023,52.768938,,,,,,,,46.023
1974,76.777478,54.98713,47.535273,54.98713,,,,,,,,47.535273
1975,76.467955,57.265762,49.092912,57.265762,,,,,,,,49.092912
1976,80.826544,59.616055,50.693674,59.616055,,,,,,,,50.693674
1977,83.273672,62.048123,52.333648,62.048123,,,,,,,,52.333648
1978,85.965503,64.547335,54.014553,64.547335,,,,,,,,54.014553
1979,88.34347,67.113633,55.738118,67.113633,,,,,,,,55.738118
1980,87.258514,69.747697,57.505874,69.747697,,,,,,,,57.505874
1981,85.622782,72.450329,59.319465,72.450329,,,,,,,,59.319465
1982,84.540567,75.222981,61.181146,75.222981,,,,,,,,61.181146
1983,85.18329,78.066211,63.091922,78.066211,,,,,,,,63.091922
1984,87.916505,80.980499,65.052509,80.980499,,,,,,,,65.052509
1985,89.06203,83.967434,67.063558,83.967434,,,,,,,,67.063558
1986,90.64612,87.028918,69.125627,87.028918,,,,,,,,69.125627
1987,93.553887,90.163199,71.239212,90.163199,,,,,,,,71.239212
1988,96.902378,93.370328,73.404748,93.370328,,,,,,,,73.404748
1989,98.601168,96.649781,75.622732,96.649781,,,,,,,,75.622732
1990,100,100,77.893526,100,,,,,,,,77.893526
1991,100.59481,103.42057,80.217483,103.42057,,,,,,,,80.217483
1992,100.24231,106.92154,82.59489,106.92154,,,,,,,,82.59489
1993,100.65422,110.50457,85.025942,110.50457,,,,,,,,85.025942
1994,101.67389,114.15239,87.510732,114.15239,,,,,,,,87.510732
1995,104.51105,117.86421,90.049237,117.86421,,,,,,,,90.049237
1996,106.57125,122.13736,92.640783,122.13736,,,,,,,,92.640783
1997,108.5553,126.82834,95.28409,126.82834,,,,,,,,95.28409
1998,109.25163,131.66193,97.981497,131.66193,,,,,,,,97.981497
1999,110.06133,136.57465,100.73175,136.57465,,,,,,,,100.73175
2000,113.39205,141.55058,103.52488,141.55058,,,,,,,,103.52488
2001,114.74321,146.58394,106.33894,146.58394,,,,,,,,106.33894
2002,116.56995,151.67143,109.18179,151.67143,,,,,,,,109.18179
2003,121.98723,156.81148,112.05434,156.81148,,,,,,,,112.05434
2004,127.65344,162.12591,114.95539,162.12591,,,,,,,,114.95539
2005,132.46175,167.69988,117.88328,167.69988,,,,,,,,117.88328
2006,136.97048,173.32234,120.83614,173.32234,,,,,,,,120.83614
2007,142.13262,178.95609,123.8122,178.95609,,,,,,,,123.8122
2008,143.0461,184.59615,126.80974,184.59615,,,,,,,,126.80974
2009,141.07011,190.45918,129.8276,190.1305,,,,,,,,129.8276
2010,149.90889,196.78653,132.86753,194.96562,,,,,,,,132.86753
2011,154.61879,203.24077,135.92681,199.56981,,,,,,,,135.92681
2012,156.61762,209.73418,139.00084,203.95986,,,,,,,,139.00084
2013,159.65226,216.24565,142.0741,208.13517,,,,,,,,142.0741
2014,160.62147,222.76277,145.13834,212.1058,,,,,,,,145.13834
2015,160.16062,229.28089,148.19374,215.87025,,,,,,,,148.19374
2016,160.59425,235.91378,151.23745,217.95812,,,,,,,,151.23745
2017,163.37113,242.69541,154.26631,219.3029,,,,,,,,154.26631
2018,167.2808,249.26847,157.27744,220.14668,,,,,,,,157.27744
2019,167.73326,255.23521,160.26836,220.52145,,,,,,,,160.26836
2020,159.79583,261.26595,163.23719,220.45316,,,,,,,,163.23719
2021,168.66665,267.3012,166.18339,219.96436,,,,,,,,166.18339
2022,170.11467,273.3206,169.10991,214.29126,,,,,,,,169.10991
2023,172.60614,279.31695,172.01678,204.7693,,,,,,,,172.01678
2024,174.90082,285.28731,174.90082,194.4009,174.90082,174.90082,174.90082,,174.90082,174.90082,,174.90082
2025,,291.23004,,183.82097,177.75852,177.77672,178.56514,,177.77672,178.56514,,177.75852
2026,,297.14378,,173.30267,180.58679,180.62451,182.24658,,180.62451,182.24658,,180.58679
2027,,303.02711,,163.00305,183.38305,183.44136,185.94299,,183.44136,185.94299,,183.38305
2028,,308.87855,,153.02989,186.14516,186.22547,189.65222,,186.22547,189.65222,,186.14516
2029,,327.19771,,143.4536,188.87142,188.97515,193.37215,,188.97515,193.37215,,188.87142
2030,,341.54694,,134.31715,191.56049,191.689,197.10066,,191.689,197.10066,,191.56049
2031,,353.55715,,127.26648,194.21136,194.33531,200.83474,,194.33531,200.83474,,194.21136
2032,,364.08287,,121.24069,196.82324,196.91926,204.58947,,196.91926,204.58947,,196.82324
2033,,373.54597,,117.40569,199.42995,199.46981,208.32038,,199.46981,208.32038,,199.42995
2034,,382.33284,,113.67973,202.04663,201.61787,212.03921,,201.61787,212.03921,,202.04663
2035,,391.15378,,109.98898,204.61571,203.11846,215.72922,,203.11846,215.72922,,204.61571
2036,,401.60555,,106.29875,207.11217,204.22921,219.33027,,204.22921,219.33027,,207.11217
2037,,412.81621,,102.593,209.49937,205.00648,222.95797,,205.00648,222.95797,,209.49937
2038,,424.18593,,98.865892,211.71934,205.42774,226.58599,,205.42774,226.58599,,211.71934
2039,,435.35278,,95.117389,213.63961,205.47536,230.10801,,205.47536,230.10801,,213.63961
2040,,446.27393,,91.351638,215.28615,205.16614,233.49475,,205.16614,233.49475,,215.28615
2041,,456.84733,,87.575808,216.6396,204.51598,236.73799,,204.51598,236.73799,,216.6396
2042,,467.0115,,83.79916,217.67306,203.54032,239.84751,,203.54032,239.84751,,217.67306
2043,,477.06988,,80.032342,218.3577,202.257,242.81572,,202.257,242.81572,,218.3577
2044,,486.69496,,76.649633,218.64712,200.68759,245.97236,,200.68759,245.97236,,218.64712
2045,,495.6239,,73.495633,218.55606,198.84545,248.64292,,198.84545,248.64292,,218.55606
2046,,503.6865,,70.390354,218.09303,196.73486,250.83977,,196.73486,250.83977,,218.09303
2047,,510.74887,,67.327026,217.26667,194.06825,252.70585,,194.06825,252.70585,,217.26667
2048,,516.66334,,64.330424,216.088,191.15194,254.28465,,191.15194,254.28465,,216.088
2049,,521.48151,,61.417548,214.57256,188.02205,255.71302,,188.02205,255.71302,,214.57256
2050,,525.13581,,58.595623,212.73823,184.717,256.8156,,184.717,256.8156,,212.73823
2051,,527.71808,,55.868063,210.60638,181.27897,257.58038,,181.27897,257.58038,,210.60638
2052,,529.17018,,53.23653,208.19913,177.79245,258.00116,,177.79245,258.00116,,208.19913
2053,,529.37078,,50.701481,205.52134,174.33036,258.07682,,174.33036,258.07682,,205.52134
2054,,528.24699,,48.261526,202.5834,170.93307,257.79972,,170.93307,257.79972,,202.5834
2055,,525.79588,,45.910692,199.40704,167.62817,257.14383,,167.62817,257.14383,,199.40704
2056,,521.7737,,43.650405,196.02009,164.43984,256.10563,,164.43984,256.10563,,196.02009
2057,,515.93164,,41.480531,192.45423,161.39413,254.69781,,161.39413,254.69781,,192.45423
2058,,508.56375,,39.402048,188.74282,158.4893,253.09746,,158.4893,253.09746,,188.74282
2059,,500.09172,,37.434244,184.91887,155.72237,251.26687,,155.72237,251.26687,,184.91887
2060,,490.89207,,35.613632,181.01395,153.09016,249.8281,,153.09016,249.8281,,181.01395
2061,,481.26337,,33.894439,177.05725,150.58596,249.21159,,150.58596,249.21159,,177.05725
2062,,471.43315,,32.257581,173.07531,148.20276,248.32423,,148.20276,248.32423,,173.07531
2063,,461.5683,,30.695158,169.09142,145.93408,247.15715,,145.93408,247.15715,,169.09142
2064,,451.78619,,29.202926,165.15255,143.72624,245.70769,,143.72624,245.70769,,165.15255
2065,,442.16814,,27.77788,161.3107,141.61177,243.97838,,141.61177,243.97838,,161.3107
2066,,432.70987,,26.417452,157.58745,139.50267,241.97602,,139.50267,241.97602,,157.58745
2067,,423.41954,,25.119242,153.99378,137.02212,239.71062,,137.02212,239.71062,,153.99378
2068,,413.87555,,23.880923,150.53487,134.64026,237.19738,,134.64026,237.19738,,150.53487
