year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,2.6690889,2.8546251,2.6690889,,,,,,,2.4930929,2.8546251
1951,,2.713752,2.9003485,2.713752,,,,,,,2.536927,2.9003485
1952,,2.7592059,2.9468079,2.7592059,,,,,,,2.5840863,2.9468079
1953,,2.8054821,2.9940337,2.8054821,,,,,,,2.6341062,2.9940337
1954,,2.8526129,3.0420564,2.8526129,,,,,,,2.6858949,3.0420564
1955,,2.9006415,3.0909074,2.9006415,,,,,,,2.7402138,3.0909074
1956,,2.949658,3.1406176,2.949658,,,,,,,2.79541,3.1406176
1957,,2.9997065,3.191219,2.9997065,,,,,,,2.8526183,3.191219
1958,,3.0508127,3.2427444,3.0508127,,,,,,,2.9112497,3.2427444
1959,,3.1030009,3.2952483,3.1030009,,,,,,,2.9659503,3.2952483
1960,3.0215126,3.1562961,3.3488282,3.1562961,,,,,,,3.0154709,3.3488282
1961,3.0627681,3.2107239,3.4035196,3.2107239,,,,,,,3.0648697,3.4035196
1962,3.1173722,3.2663105,3.4593478,3.2663105,,,,,,,3.1233743,3.4593478
1963,3.184063,3.3230658,3.5163369,3.3230658,,,,,,,3.1928078,3.5163369
1964,3.2512492,3.3806851,3.5745113,3.3806851,,,,,,,3.2644873,3.5745113
1965,3.3189793,3.4391157,3.6338958,3.4391157,,,,,,,3.3345337,3.6338958
1966,3.3890422,3.4983767,3.6945152,3.4983767,,,,,,,3.4040411,3.6945152
1967,3.4589322,3.5583923,3.756285,3.5583923,,,,,,,3.4734129,3.756285
1968,3.5305769,3.6192846,3.8188794,3.6192846,,,,,,,3.5451872,3.8188794
1969,3.6046942,3.6811158,3.8823194,3.6811158,,,,,,,3.6194916,3.8823194
1970,3.6804938,3.7438403,3.9466399,3.7438403,,,,,,,3.6946838,3.9466399
1971,3.7585154,3.8074703,4.0117602,3.8074703,,,,,,,3.7698479,4.0117602
1972,3.8343452,3.8721047,4.0777437,3.8721047,,,,,,,3.8449177,4.0777437
1973,3.9109642,3.9377518,4.1447454,3.9377518,,,,,,,3.920805,4.1447454
1974,3.9871868,4.0044299,4.2130098,4.0044299,,,,,,,3.9964161,4.2130098
1975,4.0619599,4.0721668,4.2825794,4.0721668,,,,,,,4.0707353,4.2825794
1976,4.1356442,4.1409972,4.3533874,4.1409972,,,,,,,4.1442464,4.3533874
1977,4.2088409,4.2109681,4.4252801,4.2109681,,,,,,,4.2178638,4.4252801
1978,4.2833094,4.2821105,4.4982517,4.2821105,,,,,,,4.2920975,4.4982517
1979,4.3599309,4.3542928,4.572312,4.3542928,,,,,,,4.3685395,4.572312
1980,4.4374734,4.4274845,4.6474778,4.4274845,,,,,,,4.4476062,4.6474778
1981,4.5167926,4.5016781,4.7237768,4.5016781,,,,,,,4.5287773,4.7237768
1982,4.5993859,4.5767376,4.8012604,4.5767376,,,,,,,4.6126734,4.8012604
1983,4.6827347,4.6526279,4.8799483,4.6526279,,,,,,,4.6973276,4.8799483
1984,4.7658132,4.7293297,4.9597251,4.7293297,,,,,,,4.7821755,4.9597251
1985,4.8504942,4.8066077,5.0405063,4.8066077,,,,,,,4.8689435,5.0405063
