year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
1950,,196.19997,178.78479,96.199968,,,,,,,,178.78479
1951,,196.03595,178.63537,96.035947,,,,,,,,178.63537
1952,,195.8661,178.48086,95.866103,,,,,,,,178.48086
1953,,195.69024,178.3211,95.690236,,,,,,,,178.3211
1954,,195.50814,178.1559,95.50814,,,,,,,,178.1559
1955,,195.3196,177.9851,95.319604,,,,,,,,177.9851
1956,,195.1244,177.80851,95.124402,,,,,,,,177.80851
1957,,194.9223,177.62593,94.922298,,,,,,,,177.62593
1958,,194.71304,177.43718,94.713044,,,,,,,,177.43718
1959,,194.49639,177.24205,94.496392,,,,,,,,177.24205
1960,,194.27209,177.04033,94.272085,,,,,,,,177.04033
1961,,194.03986,176.83179,94.039862,,,,,,,,176.83179
1962,,193.79946,176.61621,93.799455,,,,,,,,176.61621
1963,,193.55059,176.39334,93.550591,,,,,,,,176.39334
1964,,193.29299,176.16294,93.29299,,,,,,,,176.16294
1965,,193.02637,175.92478,93.026366,,,,,,,,175.92478
1966,,192.75042,175.67859,92.750425,,,,,,,,175.67859
1967,,192.46488,175.42413,92.464879,,,,,,,,175.42413
1968,,192.16945,175.16114,92.169446,,,,,,,,175.16114
1969,,191.86381,174.88934,91.863815,,,,,,,,174.88934
1970,,191.54561,174.60846,91.545615,,,,,,,,174.60846
1971,,191.2108,174.31823,91.210796,,,,,,,,174.31823
1972,,190.85885,174.01838,90.858853,,,,,,,,174.01838
1973,,190.48926,173.70864,90.489262,,,,,,,,173.70864
1974,,190.10147,173.38871,90.101471,,,,,,,,173.38871
1975,,189.69491,173.05826,89.694907,,,,,,,,173.05826
1976,,189.26898,172.71482,89.268978,,,,,,,,172.71482
1977,,188.82307,172.35445,88.823072,,,,,,,,172.35445
1978,,188.35655,171.97668,88.356552,,,,,,,,171.97668
1979,,187.86876,171.58101,87.868756,,,,,,,,171.58101
1980,,187.359,171.16693,87.359001,,,,,,,,171.16693
1981,,186.82659,170.73389,86.826586,,,,,,,,170.73389
1982,,186.2708,170.28134,86.270798,,,,,,,,170.28134
1983,,185.6909,169.80868,85.6909,,,,,,,,169.80868
1984,,185.08614,169.31531,85.086141,,,,,,,,169.31531
1985,,184.45576,168.80061,84.455757,,,,,,,,168.80061
1986,,183.79895,168.26395,83.798949,,,,,,,,168.26395
1987,,183.11491,167.70467,83.114907,,,,,,,,167.70467
1988,,182.40281,167.12208,82.40281,,,,,,,,167.12208
1989,,181.66183,166.5155,81.66183,,,,,,,,166.5155
1990,,180.89114,165.88421,80.891135,,,,,,,,165.88421
1991,,180.0899,165.22751,80.089896,,,,,,,,165.22751
1992,,179.25728,164.54467,79.257279,,,,,,,,164.54467
1993,,178.39244,163.83498,78.392439,,,,,,,,163.83498
1994,,177.49451,163.09772,77.49451,,,,,,,,163.09772
1995,,176.56262,162.33213,76.56262,,,,,,,,162.33213
1996,,175.59595,161.53751,75.595947,,,,,,,,161.53751
1997,,174.59397,160.71312,74.593973,,,,,,,,160.71312
1998,,173.55614,159.85827,73.55614,,,,,,,,159.85827
1999,,172.48183,158.9722,72.481825,,,,,,,,158.9722
2000,,171.37037,158.05419,71.370366,,,,,,,,158.05419
2001,,170.2211,157.10376,70.221105,,,,,,,,157.10376
2002,,169.0334,156.12055,69.033398,,,,,,,,156.12055
