year,fossil_primary_eroi_including_indirect,fossil_primary_eroi_direct_only,fossil_final_eroi_including_indirect,fossil_final_eroi_direct_only,fossil_useful_eroi_including_indirect,fossil_useful_eroi_direct_only
1971,44.64923354,59.09081365,9.588220725,12.06836394,2.938687413,3.5171318
1972,45.14624546,59.96447916,9.474943149,11.88945191,2.906789921,3.471538593
1973,45.38196218,60.38104163,9.260692469,11.55402547,2.851780654,3.393365248
1974,45.2846886,60.20896497,9.1947857,11.45161485,2.839221975,3.375598421
1975,43.66697545,57.38253698,9.420250086,11.80345867,2.908071553,3.473366766
1976,43.73647457,57.50261118,9.662970005,12.18702396,3.006931744,3.615335271
1977,43.15089187,56.49463684,9.670927382,12.19968407,3.032054963,3.651715054
1978,42.07414311,54.66311982,9.598866557,12.08523433,3.018061779,3.631436978
1979,43.83582553,57.67446938,9.815165093,12.43011286,3.124454418,3.786580992
1980,44.9473441,59.61408646,9.399686715,11.77119243,3.033032709,3.653133375
1981,43.42995596,56.97393775,9.359215297,11.70779217,3.036090393,3.657570063
1982,40.00969913,51.22887116,8.997109534,11.14660147,2.934975628,3.511816285
1983,39.20771321,49.92140184,8.986214699,11.12988386,2.946582997,3.528447581
1984,38.51604188,48.80545942,9.029974176,11.19708933,3.005201537,3.612834365
1985,36.89360414,46.22936577,8.715180528,10.71708529,2.913013925,3.480419704
1986,37.45292609,47.11095209,8.744164132,10.76094693,2.933903654,3.51028164
1987,36.49689204,45.60816919,8.66777571,10.6454906,2.931849691,3.507341791
1988,36.36930617,45.40910311,8.663890736,10.63963111,2.959206188,3.546563763
1989,36.50496352,45.62077441,8.503477162,10.39873018,2.924339373,3.496599108
1990,34.65968274,42.77476556,9.008494579,11.16408161,3.149402816,3.823285913
1991,34.85179001,43.06774279,9.022383567,11.18542053,3.195981262,3.892147759
1992,33.8286354,41.51607035,8.800811902,10.84686739,3.126266523,3.789242839
1993,31.96990178,38.75109305,8.6084527,10.55614739,3.085795715,3.729949743
1994,31.5123355,38.08086457,8.536454273,10.44808797,3.063440366,3.69733629
1995,32.71498113,38.8183867,8.7575727,10.67018299,3.117724188,3.798346593
1996,32.26837779,38.55172565,8.752278784,10.62309143,3.157605767,3.832530632
1997,31.32767305,37.1012683,8.543227831,10.21712681,3.134391539,3.748602289
1998,30.81094109,36.41851252,8.357148619,9.992461079,3.091961261,3.697079853
1999,31.17594108,37.06618793,8.443995721,10.115941,3.102210891,3.716393085
2000,31.32512555,37.44965402,8.476272657,10.21882877,3.138080914,3.783245771
2001,29.74814484,35.26988461,8.476403773,10.24096359,3.135522348,3.787822355
2002,28.95855021,33.13987423,8.484202179,10.02281871,3.132255457,3.700085559
2003,28.20588046,31.95495632,8.468316541,9.925291143,3.194461052,3.743791339
2004,29.21089448,33.76184713,8.67337498,10.35757086,3.249170318,3.879868016
2005,27.60948662,32.84266166,8.371942446,10.24853875,3.170416146,3.88065581
2006,27.57306473,33.25378579,8.200859128,10.16002031,3.130147369,3.877239702
2007,26.64409868,31.77586309,8.085267318,10.01310764,3.083663449,3.8180049
2008,26.16392847,31.44323085,8.019642347,9.931481397,3.108105388,3.848431698
2009,26.23647577,30.93991632,8.067539094,9.857257167,3.174312342,3.877707326
2010,25.50116443,30.376965,7.935926001,9.8070506,3.151704839,3.89393089
2011,24.93973947,29.96631123,7.854624029,9.850362427,3.188614634,3.9984607
2012,24.88599773,29.71696886,8.012135956,9.915924476,3.274631124,4.052606056
2013,24.10242085,28.87516634,7.868332267,9.804651215,3.196566285,3.982812158
2014,27.17737742,31.84742,8.452918512,10.37253644,3.408812907,4.18290894
2015,27.91930068,31.79767132,8.517765194,10.2728643,3.419443417,4.12392037
2016,27.01732263,31.70617927,8.51331529,10.41344626,3.387294311,4.179632537
2017,27.58393174,32.48937506,8.542499011,10.45714456,3.406714382,4.20924019
2018,27.13870875,31.87348508,8.551028788,10.46992928,3.458563357,4.288679603
2019,27.19659802,31.95336553,8.353664798,10.1755718,3.378283942,4.16592237
2020,27.54394514,32.43391596,8.469450669,10.34789112,3.478345045,4.319138607
