year,food_production_index,fossil_co2_proxy,industrial_output,population,food_per_capita_proxy_index
1960,,,,3021512598.0,
1961,12.8998217396646,,,3062768116.0,31.340494435143516
1962,13.174494534538,,,3117372187.0,31.447169207253037
1963,13.789955658133,,,3184063049.0,32.22682071974849
1964,13.510395637927,,,3251249170.0,30.921038030303723
1965,13.6357392694334,,,3318979339.0,30.57105256029662
1966,13.8559334144675,,,3389042165.0,30.42251175956795
1967,15.3337086006077,,,3458932230.0,32.98689247546595
1968,14.6087632414392,,,3530576858.0,30.789598995048365
1969,15.6043841743869,,,3604694154.0,32.21176068766243
1970,16.2025618414641,15750.7206520139,,3680493750.0,32.75773424957024
1971,16.6326146693805,15682.5508119459,,3758515396.0,32.929144270622125
1972,16.8689885523651,16478.7355062985,,3834345191.0,32.736638869605954
1973,17.3155594386797,17461.301237098,,3910964219.0,32.944956390690216
1974,18.5528219593025,17397.8374987785,,3987186772.0,34.624192152200536
1975,19.0228672545282,17327.6992647868,,4061959945.0,34.84789848867512
1976,19.4696084049762,18315.3591057151,,4135644231.0,35.03081950658294
1977,20.4974109518379,18869.8801838506,,4208840894.0,36.23871187340008
1978,20.9910772433422,19479.8511413676,,4283309396.0,36.46628593960162
1979,20.8610013252657,20018.7004257031,,4359930896.0,35.60342651569527
1980,21.7639161079791,19772.8485982341,,4437473406.0,36.49534991904014
1981,23.8962054060644,19402.1903148097,,4516792587.0,39.36724715753561
1982,21.883160575338,19156.9595419897,,4599385851.0,35.40352085552719
1983,22.4735050493695,19302.6011748069,,4682734714.0,35.71145204401493
1984,20.9879432761774,19921.949855544,,4765813206.0,32.769447382108645
1985,23.9731539253935,20181.5266214828,,4850494238.0,36.77692660462541
1986,23.691622205613,20540.4827514233,,4937459951.0,35.70487071166369
1987,22.4005405143021,21199.3850931318,,5026770385.0,33.159326588803765
1988,25.1734710563749,21958.1557367938,,5116898810.0,36.607706946387815
1989,22.8051675730017,22343.1029605016,,5207378374.0,32.58745052497811
1990,22.6196461602765,22660.0793635616,,5298962018.0,31.76371221324011
1991,25.8914493984506,22794.8648948955,,5388203305.0,35.75597632686725
1992,28.734828538527,22714.9864823348,9694622161921.01,5476822930.0,39.04057110630916
1993,39.4033503455003,22808.3254174281,9707716225069.4,5564459142.0,52.692213690492736
1994,44.309725326929,23039.3848539522,10052401254824.9,5650534421.0,58.35066168467896
1995,45.1843516386507,23682.2860158302,10377187581613.3,5736205135.0,58.613766933541264
1996,48.5122118415729,24149.1299265374,10754796445954.3,5822327903.0,61.99985414010337
1997,49.4730370441813,24598.717494151,11149424274620.3,5908180322.0,62.30904313359857
1998,52.1663105434545,24756.5058635604,11267331579126.6,5993730786.0,64.76332568203472
1999,53.160505307659,24939.9843003825,11563136948947.2,6078069822.0,65.08181676881797
2000,83.2307572102514,25694.728676422,12190924895838.3,6161528496.0,100.51517579737899
2001,89.9063126838048,26000.902282105,12367464089691.3,6244739668.0,107.13024556594277
2002,91.6800028909522,26414.8440145183,12624330333901.3,6327171255.0,107.82048498813714
2003,98.5989315593243,27642.4034048399,13096686676977.5,6409352386.0,114.47069280596101
2004,97.475746974402,28926.3716096114,13810014287354.9,6492354627.0,111.71991334802235
2005,100.273315954213,30015.9381441037,14410779144345.7,6575410029.0,113.4746336720906
2006,101.248241055207,31037.6185904886,15265165278480.1,6659536021.0,113.13051573423388
2007,100.546020446261,32207.3649529402,16099029836746.3,6744049498.0,110.93801457851151
2008,101.134130707336,32414.3605153102,16481676180385.6,6830080867.0,110.18136600265838
2009,102.781309595421,31966.5998016308,15902241504752.3,6916168196.0,110.58210498932802
2010,99.5218775961412,33969.4743144853,17145467958459.0,7000860073.0,105.7799641815484
2011,104.629638646154,35036.7409019227,17901222558207.6,7086704141.0,109.861791212758
2012,99.2802439027364,35489.6763431639,18399615687610.4,7176482165.0,102.94078546850501
2013,99.3096243211581,36177.3285213532,18915129853551.7,7265404737.0,101.71096585804712
2014,99.3228261915629,36396.9526866593,19644638774552.3,7353532223.0,100.50538257996541
2015,100.0,36292.5234154345,20313374770568.1,7441084771.0,100.0
2016,100.0,36390.7852703318,20972771980959.4,7528221579.0,98.8425313058921
2017,100.0,37020.0281885751,21799443573389.5,7613788655.0,97.73169585044123
2018,100.0,37905.9615465527,22592850184265.6,7696159728.0,96.68568525063232
2019,100.0,38008.4891307628,22971817004126.3,7777162476.0,95.67865907344584
2020,100.0,36209.8616367057,22430363213374.9,7853863139.0,94.74426329190456
2021,,38219.9967667893,24023720116505.6,7919567995.0,
2022,,38548.1189427624,24648329404482.5,7988550201.0,
2023,,39112.6887901013,25149136841395.8,8062923417.0,
2024,,39632.6642185422,25726462909175.2,8140897523.0,
2025,,,26605175443713.8,8215424893.0,
