year,total_primary_energy_ej,fossil_energy_ej,oil_ej,gas_ej,coal_ej,nuclear_ej,hydro_ej,renewables_ej,non_fossil_energy_ej,fossil_share,non_fossil_share,component_reconciliation_error_ej
1965,149.6960972,145.7617334,64.82827806,22.69375378,58.23970155,0.278615174,3.323512944,0.332235124,3.93436381,0.9737176594,0.02628234058,-5.679999902e-07
1966,157.8151378,153.5433344,69.92165252,24.72773169,58.89395014,0.375635894,3.541741082,0.354427149,4.27180345,0.9729315989,0.0270684011,6.749999955e-07
1967,163.702903,159.2806541,74.79018084,26.54660961,57.94386365,0.447338335,3.620672458,0.354237784,4.4222489,0.9729861302,0.02701386975,-3.229999948e-07
1968,173.5518782,168.7824738,81.02350424,28.95965142,58.79931815,0.568507244,3.813439256,0.387458172,4.76940439,0.9725188547,0.02748114535,2.82000002e-07
1969,185.5587197,180.4384854,87.98892405,31.80036109,60.64920029,0.674000853,4.038272917,0.407959171,5.12023427,0.9724063936,0.02759360637,-1.329000042e-06
1970,197.7143287,192.1753423,96.04881572,34.61331034,61.51321625,0.860450805,4.228738932,0.449797294,5.53898639,0.9719849015,0.02801509848,6.409999855e-07
1971,205.5010322,199.4138545,101.2028081,37.05548367,61.15556271,1.196772844,4.418071751,0.472332919,6.08717772,0.970378846,0.02962115399,-2.059999815e-07
1972,216.9092364,210.1029328,109.1951513,39.10216784,61.8056137,1.660092533,4.624664452,0.521543869,6.80630356,0.9686214212,0.03137857877,-2.705999975e-06
1973,229.9090521,222.436032,117.8149842,40.96019755,63.6608503,2.224380866,4.690846502,0.557789293,7.47302005,0.9674957555,0.03250424453,-3.389e-06
1974,230.3666018,221.6972872,116.0146405,41.9754934,63.70715327,2.908364655,5.152433929,0.608517561,8.66931463,0.9623673112,0.03763268878,1.515000008e-06
1975,232.0180958,222.1275485,115.1889318,41.97505057,64.9635661,4.034707535,5.215980335,0.639858431,9.89054733,0.9573716554,0.04262834455,-1.028999975e-06
1976,245.0363376,234.4178487,122.6237161,44.47489971,67.31923289,4.720051865,5.195291789,0.703144503,10.6184889,0.9566656562,0.04333434381,-7.429999869e-07
1977,253.9876578,241.9992683,126.7011617,45.93541838,69.36268822,5.875067057,5.370020605,0.7433004,11.9883895,0.9527993226,0.0472006774,-1.437999998e-06
1978,263.5289294,250.1092211,132.1680418,47.85821085,70.08296846,6.826847957,5.811776436,0.781084967,13.41970829,0.9490769066,0.05092309342,1.070000053e-06
1979,272.1089963,258.0205902,133.860912,50.82559122,73.334087,7.100289761,6.102669988,0.88544425,14.08840608,0.9482251367,0.05177486328,-2.080999991e-06
1980,269.4714167,254.4625688,128.0487761,51.25377074,75.16002193,7.766446069,6.233937595,1.008464112,15.00884793,0.9443026347,0.05569736529,-1.540000198e-07
1981,268.0828809,251.4398818,123.444884,51.82618601,76.16881179,9.171826491,6.368052668,1.103118857,16.6429991,0.9379184562,0.06208154375,-1.083999962e-06
1982,266.5255343,248.8756905,119.7600762,52.0920783,77.02353604,9.951027736,6.483269219,1.215547068,17.64984376,0.9337780382,0.06622196183,2.63000004e-07
1983,270.8960834,251.4808438,119.1624951,52.93484697,79.38350171,11.27795684,6.759967994,1.377313213,19.41523962,0.9283295669,0.07167043309,-1.57300002e-06
1984,283.3781589,261.1389544,121.0577227,57.25084766,82.830384,13.68620114,6.988944321,1.564056794,22.23920454,0.9215211058,0.07847889416,-2.284999994e-06
1985,291.2294526,266.1862878,121.2523732,58.54565833,86.38825632,16.24278151,7.12527711,1.675108018,25.04316475,0.9140088184,0.08599118161,1.887999986e-06
1986,297.9215964,271.426298,124.9586483,59.11789976,87.34974998,17.39711709,7.221862978,1.876317877,26.49529836,0.9110662044,0.0889337956,-4.149999882e-07
1987,309.0941594,280.8595786,127.8205409,62.21648388,90.82255385,18.92436127,7.319492496,1.990728665,28.23458077,0.9086537875,0.09134621251,1.660999999e-06
1988,320.7638767,290.5411421,131.8819349,65.12012295,93.53908426,20.63181017,7.55405583,2.03686808,30.22273459,0.905778871,0.09422112895,-5.100000635e-07
1989,327.5366293,296.4740703,134.0431474,67.99914221,94.43178066,21.2182973,7.515313235,2.328950485,31.06255903,0.9051630986,0.09483690144,1.990000044e-06
1990,331.2480357,299.0564868,135.5883096,70.13466771,93.33350947,21.82468275,7.771039317,2.595825518,32.19154892,0.9028173892,0.09718261076,-1.334999979e-06
1991,333.6998363,300.180354,135.8169789,71.90221174,92.4611634,22.86883544,7.950758879,2.69988872,33.51948226,0.8995519967,0.1004480033,7.789999472e-07
1992,335.850863,302.0359972,137.7155001,72.22853936,92.09195772,23.04243082,7.949933192,2.822502747,33.81486582,0.8993158287,0.1006841713,9.389999605e-07
1993,337.8068984,302.6244039,137.1287661,72.9557356,92.53990219,23.83597732,8.428753884,2.917761945,35.18249451,0.8958502781,0.1041497219,-1.361000045e-06
1994,342.3203271,306.5282961,140.203254,73.40260741,92.92243465,24.28340392,8.481259556,3.027368683,35.79203104,0.8954428697,0.1045571303,1.119000046e-06
1995,349.1078974,311.749125,142.1882522,75.97617085,93.58470192,25.33668952,8.940200181,3.081882409,37.35877243,0.8929878908,0.1070121092,-3.200000265e-07
