year,manufacturing_iip_2020_100,population,manufacturing_iip_per_capita_index_2015
2005,71.3690908403,6575410029,85.4564545807
2006,75.7165200553,6659536021,89.5167320769
2007,80.1890741701,6744049498,93.6164129221
2008,80.3916293824,6830080867,92.6707187792
2009,72.7573532276,6916168196,82.826420251
2010,80.0894453379,7000860073,90.070263791
2011,83.998397445,7086704141,93.3220444781
2012,86.519297844,7176482165,94.9202607358
2013,89.1135487905,7265404737,96.5698312401
2014,92.3589236018,7353532223,98.887274945
2015,94.510205179,7441084771,100
2016,96.7975567461,7528221579,101.234734544
2017,100.462379054,7613788655,103.88675652
2018,103.878803383,7696159728,106.269934226
2019,104.870189537,7777162476,106.166726574
2020,99.9752782282,7853863139,100.222870802
2021,109.415002149,7919567995,108.775960669
2022,112.065011339,7988550201,110.448447809
2023,113.115370129,8062923417,110.455318494
2024,115.171736241,8140897523,111.386144658
2025,118.866428008,8215424893,113.916525074
