year,mva_constant_2020_usd,population,mva_per_capita_constant_2020_usd,mva_per_capita_index_2015
1990,5.51062019969e+12,5325039318,1034.85061248,62.4630316056
1991,5.53091649957e+12,5415917410,1021.23353827,61.6411122614
1992,5.53502472246e+12,5503118064,1005.79792367,60.7094267881
1993,5.58949759901e+12,5588609815,1000.15885597,60.3690556662
1994,5.76870777519e+12,5672572932,1016.94730845,61.3823977133
1995,6.01099013756e+12,5755871664,1044.32316918,63.0347900815
1996,6.1913674884e+12,5839008571,1060.34567566,64.0019000356
1997,6.4799230315e+12,5921685226,1094.27009106,66.0495596746
1998,6.56597159094e+12,6003887254,1093.62006866,66.0103246686
1999,6.81313804903e+12,6085754792,1119.52227487,67.5737680349
2000,7.27916123333e+12,6168390692,1180.07460889,71.2286746543
2001,7.27657573256e+12,6251572594,1163.95924756,70.2559600305
2002,7.43083909682e+12,6334321221,1173.10739976,70.8081376235
2003,7.84762852342e+12,6416909611,1222.96073954,73.8172586508
2004,8.53264524305e+12,6499880641,1312.7387585,79.2362120419
2005,8.90093301504e+12,6583431108,1352.02037798,81.6072296648
2006,9.49224470968e+12,6667870237,1423.57969971,85.9265121978
2007,1.00630056222e+13,6753685505,1490.00210548,89.9357332208
2008,1.01836597373e+13,6840801762,1488.66464658,89.8550049139
2009,9.53752734987e+12,6929090195,1376.44727972,83.0816244396
2010,1.03993290074e+13,7018041410,1481.79932261,89.4406176168
2011,1.08510237704e+13,7107176543,1526.76997746,92.1550223838
2012,1.11096402007e+13,7197399557,1543.56307617,93.1686448748
2013,1.14610205487e+13,7287920010,1572.60515113,94.9216090453
2014,1.1940299411e+13,7377656652,1618.44064779,97.6882152031
2015,1.23699700424e+13,7466448011,1656.7409328,100
2016,1.267882809e+13,7554425946,1678.33111088,101.303171646
2017,1.31022518399e+13,7641393043,1714.64178929,103.494864848
2018,1.36198292528e+13,7725597762,1762.94827564,106.410618627
2019,1.38122195096e+13,7806936923,1769.22391533,106.789412895
2020,1.34786352967e+13,7882585547,1709.92566035,103.210201818
2021,1.46849190135e+13,7949952648,1847.1706265,111.494234852
2022,1.49828817219e+13,8016819908,1868.9308097,112.807667916
2023,1.52164468504e+13,8087068958,1881.57748245,113.571014345
2024,1.56737209936e+13,8157252238,1921.44616059,115.977466516
2025,1.61259018626e+13,8226845401,1960.15618096,118.313982721
