year,value,indicator,country_code,model_variable,concept,unit
1960,3021512598.0,SP.POP.TOTL,WLD,population,Global population,persons
1961,3062768116.0,SP.POP.TOTL,WLD,population,Global population,persons
1962,3117372187.0,SP.POP.TOTL,WLD,population,Global population,persons
1963,3184063049.0,SP.POP.TOTL,WLD,population,Global population,persons
1964,3251249170.0,SP.POP.TOTL,WLD,population,Global population,persons
1965,3318979339.0,SP.POP.TOTL,WLD,population,Global population,persons
1966,3389042165.0,SP.POP.TOTL,WLD,population,Global population,persons
1967,3458932230.0,SP.POP.TOTL,WLD,population,Global population,persons
1968,3530576858.0,SP.POP.TOTL,WLD,population,Global population,persons
1969,3604694154.0,SP.POP.TOTL,WLD,population,Global population,persons
1970,3680493750.0,SP.POP.TOTL,WLD,population,Global population,persons
1971,3758515396.0,SP.POP.TOTL,WLD,population,Global population,persons
1972,3834345191.0,SP.POP.TOTL,WLD,population,Global population,persons
1973,3910964219.0,SP.POP.TOTL,WLD,population,Global population,persons
1974,3987186772.0,SP.POP.TOTL,WLD,population,Global population,persons
1975,4061959945.0,SP.POP.TOTL,WLD,population,Global population,persons
1976,4135644231.0,SP.POP.TOTL,WLD,population,Global population,persons
1977,4208840894.0,SP.POP.TOTL,WLD,population,Global population,persons
1978,4283309396.0,SP.POP.TOTL,WLD,population,Global population,persons
1979,4359930896.0,SP.POP.TOTL,WLD,population,Global population,persons
1980,4437473406.0,SP.POP.TOTL,WLD,population,Global population,persons
1981,4516792587.0,SP.POP.TOTL,WLD,population,Global population,persons
1982,4599385851.0,SP.POP.TOTL,WLD,population,Global population,persons
1983,4682734714.0,SP.POP.TOTL,WLD,population,Global population,persons
1984,4765813206.0,SP.POP.TOTL,WLD,population,Global population,persons
1985,4850494238.0,SP.POP.TOTL,WLD,population,Global population,persons
1986,4937459951.0,SP.POP.TOTL,WLD,population,Global population,persons
1987,5026770385.0,SP.POP.TOTL,WLD,population,Global population,persons
1988,5116898810.0,SP.POP.TOTL,WLD,population,Global population,persons
1989,5207378374.0,SP.POP.TOTL,WLD,population,Global population,persons
1990,5298962018.0,SP.POP.TOTL,WLD,population,Global population,persons
1991,5388203305.0,SP.POP.TOTL,WLD,population,Global population,persons
1992,5476822930.0,SP.POP.TOTL,WLD,population,Global population,persons
1993,5564459142.0,SP.POP.TOTL,WLD,population,Global population,persons
1994,5650534421.0,SP.POP.TOTL,WLD,population,Global population,persons
1995,5736205135.0,SP.POP.TOTL,WLD,population,Global population,persons
1996,5822327903.0,SP.POP.TOTL,WLD,population,Global population,persons
1997,5908180322.0,SP.POP.TOTL,WLD,population,Global population,persons
1998,5993730786.0,SP.POP.TOTL,WLD,population,Global population,persons
1999,6078069822.0,SP.POP.TOTL,WLD,population,Global population,persons
2000,6161528496.0,SP.POP.TOTL,WLD,population,Global population,persons
2001,6244739668.0,SP.POP.TOTL,WLD,population,Global population,persons
2002,6327171255.0,SP.POP.TOTL,WLD,population,Global population,persons
2003,6409352386.0,SP.POP.TOTL,WLD,population,Global population,persons
2004,6492354627.0,SP.POP.TOTL,WLD,population,Global population,persons
2005,6575410029.0,SP.POP.TOTL,WLD,population,Global population,persons
2006,6659536021.0,SP.POP.TOTL,WLD,population,Global population,persons
2007,6744049498.0,SP.POP.TOTL,WLD,population,Global population,persons
2008,6830080867.0,SP.POP.TOTL,WLD,population,Global population,persons
2009,6916168196.0,SP.POP.TOTL,WLD,population,Global population,persons
2010,7000860073.0,SP.POP.TOTL,WLD,population,Global population,persons
2011,7086704141.0,SP.POP.TOTL,WLD,population,Global population,persons
2012,7176482165.0,SP.POP.TOTL,WLD,population,Global population,persons
2013,7265404737.0,SP.POP.TOTL,WLD,population,Global population,persons
2014,7353532223.0,SP.POP.TOTL,WLD,population,Global population,persons
2015,7441084771.0,SP.POP.TOTL,WLD,population,Global population,persons
2016,7528221579.0,SP.POP.TOTL,WLD,population,Global population,persons
2017,7613788655.0,SP.POP.TOTL,WLD,population,Global population,persons
2018,7696159728.0,SP.POP.TOTL,WLD,population,Global population,persons
2019,7777162476.0,SP.POP.TOTL,WLD,population,Global population,persons
2020,7853863139.0,SP.POP.TOTL,WLD,population,Global population,persons
2021,7919567995.0,SP.POP.TOTL,WLD,population,Global population,persons
2022,7988550201.0,SP.POP.TOTL,WLD,population,Global population,persons
2023,8062923417.0,SP.POP.TOTL,WLD,population,Global population,persons
2024,8140897523.0,SP.POP.TOTL,WLD,population,Global population,persons
2025,8215424893.0,SP.POP.TOTL,WLD,population,Global population,persons
1992,9694622161921.01,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1993,9707716225069.4,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1994,10052401254824.9,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1995,10377187581613.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1996,10754796445954.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1997,11149424274620.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1998,11267331579126.6,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1999,11563136948947.2,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2000,12190924895838.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2001,12367464089691.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2002,12624330333901.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2003,13096686676977.5,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2004,13810014287354.9,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2005,14410779144345.7,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2006,15265165278480.1,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2007,16099029836746.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2008,16481676180385.6,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2009,15902241504752.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2010,17145467958459.0,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2011,17901222558207.6,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2012,18399615687610.4,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2013,18915129853551.7,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2014,19644638774552.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2015,20313374770568.1,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2016,20972771980959.4,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2017,21799443573389.5,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2018,22592850184265.6,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2019,22971817004126.3,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2020,22430363213374.9,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2021,24023720116505.6,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2022,24648329404482.5,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2023,25149136841395.8,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2024,25726462909175.2,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
2025,26605175443713.8,NV.IND.TOTL.KD,WLD,industrial_output,Industry value added,constant 2015 USD
1961,12.8998217396646,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1962,13.174494534538,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1963,13.789955658133,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1964,13.510395637927,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1965,13.6357392694334,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1966,13.8559334144675,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1967,15.3337086006077,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1968,14.6087632414392,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1969,15.6043841743869,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1970,16.2025618414641,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1971,16.6326146693805,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1972,16.8689885523651,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1973,17.3155594386797,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1974,18.5528219593025,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1975,19.0228672545282,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1976,19.4696084049762,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1977,20.4974109518379,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1978,20.9910772433422,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1979,20.8610013252657,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1980,21.7639161079791,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1981,23.8962054060644,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1982,21.883160575338,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1983,22.4735050493695,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1984,20.9879432761774,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1985,23.9731539253935,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1986,23.691622205613,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1987,22.4005405143021,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1988,25.1734710563749,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1989,22.8051675730017,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1990,22.6196461602765,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1991,25.8914493984506,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1992,28.734828538527,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1993,39.4033503455003,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1994,44.309725326929,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1995,45.1843516386507,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1996,48.5122118415729,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1997,49.4730370441813,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1998,52.1663105434545,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1999,53.160505307659,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2000,83.2307572102514,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2001,89.9063126838048,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2002,91.6800028909522,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2003,98.5989315593243,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2004,97.475746974402,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2005,100.273315954213,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2006,101.248241055207,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2007,100.546020446261,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2008,101.134130707336,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2009,102.781309595421,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2010,99.5218775961412,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2011,104.629638646154,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2012,99.2802439027364,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2013,99.3096243211581,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2014,99.3228261915629,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2015,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2016,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2017,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2018,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2019,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
2020,100.0,AG.PRD.FOOD.XD,WLD,food_production_index,Food production index,2014-2016=100
1970,15750.7206520139,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1971,15682.5508119459,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1972,16478.7355062985,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1973,17461.301237098,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1974,17397.8374987785,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1975,17327.6992647868,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1976,18315.3591057151,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1977,18869.8801838506,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1978,19479.8511413676,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1979,20018.7004257031,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1980,19772.8485982341,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1981,19402.1903148097,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1982,19156.9595419897,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1983,19302.6011748069,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1984,19921.949855544,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1985,20181.5266214828,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1986,20540.4827514233,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1987,21199.3850931318,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1988,21958.1557367938,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1989,22343.1029605016,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1990,22660.0793635616,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1991,22794.8648948955,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1992,22714.9864823348,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1993,22808.3254174281,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1994,23039.3848539522,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1995,23682.2860158302,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1996,24149.1299265374,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1997,24598.717494151,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1998,24756.5058635604,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
1999,24939.9843003825,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2000,25694.728676422,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2001,26000.902282105,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2002,26414.8440145183,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2003,27642.4034048399,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2004,28926.3716096114,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2005,30015.9381441037,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2006,31037.6185904886,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2007,32207.3649529402,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2008,32414.3605153102,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2009,31966.5998016308,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2010,33969.4743144853,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2011,35036.7409019227,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2012,35489.6763431639,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2013,36177.3285213532,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2014,36396.9526866593,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2015,36292.5234154345,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
2016,36390.7852703318,EN.GHG.CO2.MT.CE.AR5,WLD,fossil_co2_proxy,Territorial CO2 emissions,"Mt CO2e, AR5"
