CountryCode,Country,Title,Note
008,Albania,Data Supplier,INSTAT Instituti i Statistikave
008,Albania,Source,Industrial production index by Economic_Activity
012,Algeria,Data Supplier,Office National des Statistiques Algerie
012,Algeria,Source,Indice de la production trimestrielle
020,Andorra,Data Supplier,Govern dAndorra
020,Andorra,Source,Annual national accounts - Estimated GDP by sectors
024,Angola,Data Supplier,Instituto Nacional de Estatistica Angola
024,Angola,Note,Chain-linked index with quarter-over-quarter growth rates
024,Angola,Source,Index of industrial production
028,Antigua and Barbuda,Data Supplier,Antigua and Barbuda Statistics Division
028,Antigua and Barbuda,Source,Gross Domestic Product by Economic Activity
031,Azerbaijan,Data Supplier,The State Statistical Committee of the Republic of Azerbaijan
031,Azerbaijan,Source,Indexes of industrial production by kinds of economic activity
032,Argentina,Data Supplier,INDEC Instituto Nacional de Estadistica y Censos
032,Argentina,Note,Index calculated out of monthly growth rates
032,Argentina,Source,Indice de producción industrial manufacturero
036,Australia,Data Supplier,Australian Bureau of Statistics
036,Australia,Source,Indexes of Industrial Production
040,Austria,Data Supplier,Statistik Austria
040,Austria,Note,Data obtained via Eurostat.
040,Austria,Source,Index of industrial production
044,Bahamas,Data Supplier,The Government of Bahamas Department of Statistics
044,Bahamas,Note,Indices calculated with GDP
044,Bahamas,Source,Quarterly Gross Domestic Product by economic activity at constant prices
048,Bahrain,Data Supplier,Information and eGovernment Authority
048,Bahrain,Source,Quarterly Gross Domestic Product (GDP) at constant prices by economic activities
050,Bangladesh,Data Supplier,Bangladesh Bureau of Statistics
050,Bangladesh,Source,Industrial Production Statistics (IPS)
051,Armenia,Data Supplier,Statistical Committee Republic of Armenia
051,Armenia,Source,Index of Industrial Production
052,Barbados,Data Supplier,Barbados Statistical Service
052,Barbados,Source,Gross Domestic Product at Constant prices
056,Belgium,Data Supplier,Statbel (Statistics Belgium)
056,Belgium,Note,Data obtained via Eurostat.
056,Belgium,Source,Index of industrial production
060,Bermuda,Data Supplier,Government of Bermuda Department of Statistics
060,Bermuda,Source,Gross Domestic Product at constant prices
064,Bhutan,Data Supplier,National Statistics Bureau Bhutan
064,Bhutan,Source,Gross domestic product by economic activity in constant prices
068,Bolivia (Plurinational State of),Data Supplier," Instituto Nacional de Estadstica Estado Plurinacional de Bolivia"
068,Bolivia (Plurinational State of),Source,Volume index of manufacturing sector
070,Bosnia and Herzegovina,Data Supplier,Agency for Statistics of Bosnia and Herzegovina
070,Bosnia and Herzegovina,Note,Data obtained via Eurostat.
070,Bosnia and Herzegovina,Source,Index of industrial production
072,Botswana,Data Supplier,Statistics Botswana
072,Botswana,Note,Index calculated with quarterly VA
072,Botswana,Source,Value Added by Kind of Economic Activity at Constant 2016 Prices
076,Brazil,Data Supplier,IBGE Instituto Brasileiro de Geografiea e Estatistica
076,Brazil,Source,Industrial Physical Production by sections and industrial activities
084,Belize,Data Supplier,Statistical Institute of Belize
084,Belize,Source,Gross Domestic Product by Activity Constant Prices
090,Solomon Islands,Data Supplier,Solomon Islands National Statistics Office
090,Solomon Islands,Source,Gross Domestic Product (GDP) by economic activity
096,Brunei Darussalam,Data Supplier,Department of Economic Planning and Development Ministry of Finance
096,Brunei Darussalam,Note,Index calculated with GDP
096,Brunei Darussalam,Source,National Accounts GDP at constant prices 2010
100,Bulgaria,Data Supplier,National Statistical Institute Bulgaria
100,Bulgaria,Note,Data obtained via Eurostat.
100,Bulgaria,Source,Index of industrial production
104,Myanmar,Data Supplier,Central Statistical Organization
104,Myanmar,Source,Gross Domestic Product at constant prices by sector of activity
108,Burundi,Data Supplier,Institut de Statistiques et Detudes Economiques du Burundi
108,Burundi,Source,Indices harmonises de la production industrielle
112,Belarus,Data Supplier,National Statistical Committee of the Republic of Belarus
112,Belarus,Note,Index calculated out of percentages to the corresponding month of the previous year
112,Belarus,Source,Industrial production indices by kinds of economic activity
116,Cambodia,Data Supplier,National Institute of Statistics
116,Cambodia,Source,GPD Production approach and expenditure
120,Cameroon,Data Supplier,Institut national de la statistique de Cameroun
