Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,Value,UnitType,Metadata
2020,Afghanistan,004,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",1.50434175719856E9,$,
2020,Afghanistan,004,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",1.50434175719856E9,$,
2020,Afghanistan,004,Population,Pop,Pop,Population,3.9068979E7,N,
2020,Albania,008,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",1.07748182236539E9,$,
2020,Albania,008,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",1.07748182236539E9,$,
2020,Albania,008,Population,Pop,Pop,Population,2871954.0,N,
2020,Algeria,012,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",1.03579992553843E10,$,
2020,Algeria,012,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",1.03579992553843E10,$,
2020,Algeria,012,Population,Pop,Pop,Population,4.4042091E7,N,
2020,Andorra,020,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",1.07937532295718E8,$,
2020,Andorra,020,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",1.07937532295718E8,$,
2020,Andorra,020,Population,Pop,Pop,Population,77380.0,N,
2020,Angola,024,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",4.05461006172749E9,$,
2020,Angola,024,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",4.05461006172749E9,$,
2020,Angola,024,Population,Pop,Pop,Population,3.3451132E7,N,
2020,Anguilla,660,"MVA (Manufacturing Value Added), constant 2020 USD",MvaCod,MvaCod,"MVA (Manufacturing Value Added), constant 2020 USD",6683398.14814815,$,
2020,Anguilla,660,"MVA (Manufacturing Value Added), current USD",MvaCud,MvaCud,"MVA (Manufacturing Value Added), current USD",6683398.14814815,$,
2020,Anguilla,660,Population,Pop,Pop,Population,14843.0,N,
